57,1,5,4
58,2,6,5
59,3,7,6
60,4,8,7
61,5,9,8
62,6,10,9
63,7,11,10
64,8,12,11
65,9,13,12
66,10,14,13
67,11,15,14
68,1,16,15
69,2,17,16
70,3,18,6
71,4,19,7
72,5,20,8
73,6,21,17
74,7,22,18
75,8,23,24
76,9,24,21
77,10,25,22
78,11,26,23
79,1,27,25
80,2,28,26
81,3,29,27
82,4,30,28
83,5,31,29
84,6,32,30
85,7,33,31
86,8,34,32
87,9,35,33
88,10,36,34
89,11,37,35
90,12,38,36
91,13,39,37
92,14,40,38
93,15,41,39
94,16,42,40
95,17,43,41
96,18,44,42
97,19,45,43
98,20,46,44
99,21,47,45
100,22,48,46
101,23,49,47
102,24,50,48
103,25,51,49
104,26,52,50
